ticker,name,isin,exchange,sector,industry,market_data_ticker,country,universe
KIRLOSENG,Kirloskar Oil Engines Limited,INE146L01010,NSE,Unclassified,Unclassified,KIRLOSENG.NS,IN,NSE_MAINBOARD
KIRLOSIND,Kirloskar Industries Limited,INE250A01039,NSE,Unclassified,Unclassified,KIRLOSIND.NS,IN,NSE_MAINBOARD
KIRLPNU,Kirloskar Pneumatic Company Limited,INE811A01020,NSE,Unclassified,Unclassified,KIRLPNU.NS,IN,NSE_MAINBOARD
KISSHT,OnEMI Technology Solutions Limited,INE12F801023,NSE,Unclassified,Unclassified,KISSHT.NS,IN,NSE_MAINBOARD
KITEX,Kitex Garments Limited,INE602G01020,NSE,Unclassified,Unclassified,KITEX.NS,IN,NSE_MAINBOARD
KKCL,Kewal Kiran Clothing Limited,INE401H01017,NSE,Unclassified,Unclassified,KKCL.NS,IN,NSE_MAINBOARD
KLBRENG-B,Kilburn Engineering Limited,INE338F01015,NSE,Unclassified,Unclassified,KLBRENG-B.NS,IN,NSE_MAINBOARD
KMEW,Knowledge Marine & Engineering Works Limited,INE0CJD01029,NSE,Unclassified,Unclassified,KMEW.NS,IN,NSE_MAINBOARD
KMSUGAR,K.M.Sugar Mills Limited,INE157H01023,NSE,Unclassified,Unclassified,KMSUGAR.NS,IN,NSE_MAINBOARD
KNACK,Knack Packaging Limited,INE17QZ01016,NSE,Unclassified,Unclassified,KNACK.NS,IN,NSE_MAINBOARD
KNAGRI,KN Agri Resources Limited,INE0KNW01016,NSE,Unclassified,Unclassified,KNAGRI.NS,IN,NSE_MAINBOARD
KNRCON,KNR Constructions Limited,INE634I01029,NSE,Unclassified,Unclassified,KNRCON.NS,IN,NSE_MAINBOARD
KOHINOOR,Kohinoor Foods Limited,INE080B01012,NSE,Unclassified,Unclassified,KOHINOOR.NS,IN,NSE_MAINBOARD
KOKUYOCMLN,Kokuyo Camlin Limited,INE760A01029,NSE,Unclassified,Unclassified,KOKUYOCMLN.NS,IN,NSE_MAINBOARD
KOLTEPATIL,Kolte - Patil Developers Limited,INE094I01018,NSE,Unclassified,Unclassified,KOLTEPATIL.NS,IN,NSE_MAINBOARD
KOPRAN,Kopran Limited,INE082A01010,NSE,Unclassified,Unclassified,KOPRAN.NS,IN,NSE_MAINBOARD
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01036,NSE,Financial Services,Financial Services,KOTAKBANK.NS,IN,NSE_MAINBOARD
KOTARISUG,Kothari Sugars And Chemicals Limited,INE419A01022,NSE,Unclassified,Unclassified,KOTARISUG.NS,IN,NSE_MAINBOARD
KOTHARIPET,Kothari Petrochemicals Limited,INE720A01015,NSE,Unclassified,Unclassified,KOTHARIPET.NS,IN,NSE_MAINBOARD
KOTHARIPRO,Kothari Products Limited,INE823A01017,NSE,Unclassified,Unclassified,KOTHARIPRO.NS,IN,NSE_MAINBOARD
KOTIC,Kothari Industrial Corporation Limited,INE972A01020,NSE,Unclassified,Unclassified,KOTIC.NS,IN,NSE_MAINBOARD
KOTYARK,Kotyark Industries Limited,INE0J0B01017,NSE,Unclassified,Unclassified,KOTYARK.NS,IN,NSE_MAINBOARD
KOVAI,Kovai Medical Center & Hospital Limited,INE177F01017,NSE,Unclassified,Unclassified,KOVAI.NS,IN,NSE_MAINBOARD
KPEL,K.P. Energy Limited,INE127T01021,NSE,Unclassified,Unclassified,KPEL.NS,IN,NSE_MAINBOARD
KPIGREEN,KPI Green Energy Limited,INE542W01025,NSE,Unclassified,Unclassified,KPIGREEN.NS,IN,NSE_MAINBOARD
KPIL,Kalpataru Projects International Limited,INE220B01022,NSE,Unclassified,Unclassified,KPIL.NS,IN,NSE_MAINBOARD
KPITTECH,KPIT Technologies Limited,INE04I401011,NSE,Information Technology,Information Technology,KPITTECH.NS,IN,NSE_MAINBOARD
KPL,Kwality Pharmaceuticals Limited,INE552U01010,NSE,Unclassified,Unclassified,KPL.NS,IN,NSE_MAINBOARD
KPRMILL,K.P.R. Mill Limited,INE930H01031,NSE,Unclassified,Unclassified,KPRMILL.NS,IN,NSE_MAINBOARD
KRBL,KRBL Limited,INE001B01026,NSE,Unclassified,Unclassified,KRBL.NS,IN,NSE_MAINBOARD
KREBSBIO,Krebs Biochemicals and Industries Limited,INE268B01013,NSE,Unclassified,Unclassified,KREBSBIO.NS,IN,NSE_MAINBOARD
KRIDHANINF,Kridhan Infra Limited,INE524L01026,NSE,Unclassified,Unclassified,KRIDHANINF.NS,IN,NSE_MAINBOARD
KRISHANA,Krishana Phoschem Limited,INE506W01020,NSE,Unclassified,Unclassified,KRISHANA.NS,IN,NSE_MAINBOARD
KRISHIVAL,Krishival Foods Limited,INE0GGO01015,NSE,Unclassified,Unclassified,KRISHIVAL.NS,IN,NSE_MAINBOARD
KRISHNADEF,Krishna Defence And Allied Industries Limited,INE0J5601015,NSE,Unclassified,Unclassified,KRISHNADEF.NS,IN,NSE_MAINBOARD
KRITI,Kriti Industries (India) Limited,INE479D01038,NSE,Unclassified,Unclassified,KRITI.NS,IN,NSE_MAINBOARD
KRITIKA,Kritika Wires Limited,INE00Z501029,NSE,Unclassified,Unclassified,KRITIKA.NS,IN,NSE_MAINBOARD
KRITINUT,Kriti Nutrients Limited,INE798K01010,NSE,Unclassified,Unclassified,KRITINUT.NS,IN,NSE_MAINBOARD
KRN,KRN Heat Exchanger and Refrigeration Limited,INE0Q3J01015,NSE,Unclassified,Unclassified,KRN.NS,IN,NSE_MAINBOARD
KRONOX,Kronox Lab Sciences Limited,INE0ATZ01017,NSE,Unclassified,Unclassified,KRONOX.NS,IN,NSE_MAINBOARD
KROSS,Kross Limited,INE0O6601022,NSE,Unclassified,Unclassified,KROSS.NS,IN,NSE_MAINBOARD
KRSNAA,Krsnaa Diagnostics Limited,INE08LI01020,NSE,Unclassified,Unclassified,KRSNAA.NS,IN,NSE_MAINBOARD
KRYSTAL,Krystal Integrated Services Limited,INE0QN801017,NSE,Unclassified,Unclassified,KRYSTAL.NS,IN,NSE_MAINBOARD
KSB,Ksb Limited,INE999A01023,NSE,Unclassified,Unclassified,KSB.NS,IN,NSE_MAINBOARD
